scheme,fold,n_train,n_valid,pr_auc,roc_auc,precision_at_0_5,recall_at_0_5,prevalence
grouped,1,25745,6431,0.04881078197956233,0.6935349649771566,0.05658381808566896,0.6149425287356322,0.02705644534287047
grouped,2,25786,6390,0.03496558391987671,0.459493821931806,0.019384264538198404,0.17708333333333334,0.03004694835680751
grouped,3,26149,6027,0.12443392111811599,0.7430807648510878,0.06948051948051948,0.5977653631284916,0.02969968475194956
grouped,4,25764,6412,0.03590033614426671,0.5793377164849263,0.030439121756487025,0.3465909090909091,0.02744853399875234
grouped,5,25260,6916,0.027894399839849725,0.39471210088605313,0.013653741125068269,0.09652509652509653,0.03744939271255061
